CARCID,Code,Description,Denial
1,1,Deductible Amount,No
2,2,Coinsurance Amount,No
3,3,Co-payment Amount,No
4,4,"The procedure code is inconsistent with the modifier used. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
5,5,"The procedure code/type of bill is inconsistent with the place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
6,6,"The procedure/revenue code is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
7,7,"The procedure/revenue code is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
8,8,"The procedure code is inconsistent with the provider type/specialty (taxonomy). Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
9,9,"The diagnosis is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
10,10,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
11,11,"The diagnosis is inconsistent with the procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
12,12,"The diagnosis is inconsistent with the provider type. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
13,13,The date of death precedes the date of service.,Yes
14,14,The date of birth follows the date of service.,Yes
15,16,"Claim/service lacks information or has submission/billing error(s). Usage: Do not use this code for claims attachment(s)/other documentation. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
16,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),Yes
17,19,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.,Yes
18,20,This injury/illness is covered by the liability carrier.,Yes
19,21,This injury/illness is the liability of the no-fault carrier.,Yes
20,22,This care may be covered by another payer per coordination of benefits.,Yes
21,23,The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA),Yes
22,24,Charges are covered under a capitation agreement/managed care plan.,Yes
23,26,Expenses incurred prior to coverage.,Yes
24,27,Expenses incurred after coverage terminated.,Yes
25,29,The time limit for filing has expired.,Yes
26,31,Patient cannot be identified as our insured.,Yes
27,32,Our records indicate the patient is not an eligible dependent.,Yes
28,33,Insured has no dependent coverage.,Yes
29,34,Insured has no coverage for newborns.,Yes
30,35,Lifetime benefit maximum has been reached.,Yes
31,39,Services denied at the time authorization/pre-certification was requested.,Yes
32,40,"Charges do not meet qualifications for emergent/urgent care. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
33,44,Prompt-pay discount.,No
34,45,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. Usage: This adjustment amount cannot equal the total service or claim charge amount; and must not duplicate provider adjustment amounts (payments and contractual reductions) that have resulted from prior payer(s) adjudication. (Use only with Group Codes PR or CO depending upon liability),No
35,49,"This is a non-covered service because it is a routine/preventive exam or a diagnostic/screening procedure done in conjunction with a routine/preventive exam. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
36,50,"These are non-covered services because this is not deemed a 'medical necessity' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
37,51,"These are non-covered services because this is a pre-existing condition. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
38,53,Services by an immediate relative or a member of the same household are not covered.,Yes
39,54,"Multiple physicians/assistants are not covered in this case. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
40,55,"Procedure/treatment/drug is deemed experimental/investigational by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
41,56,"Procedure/treatment has not been deemed 'proven to be effective' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
42,58,"Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
43,59,"Processed based on multiple or concurrent procedure rules. (For example multiple surgery or diagnostic imaging, concurrent anesthesia.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
44,60,Charges for outpatient services are not covered when performed within a period of time prior to or after inpatient services.,Yes
45,61,Adjusted for failure to obtain second surgical opinion,Yes
46,66,Blood Deductible.,No
47,69,Day outlier amount.,No
48,70,Cost outlier - Adjustment to compensate for additional costs.,No
49,74,Indirect Medical Education Adjustment.,No
50,75,Direct Medical Education Adjustment.,No
51,76,Disproportionate Share Adjustment.,No
52,78,Non-Covered days/Room charge adjustment.,Yes
53,85,Patient Interest Adjustment (Use Only Group code PR),No
54,89,Professional fees removed from charges.,No
55,90,Ingredient cost adjustment. Usage: To be used for pharmaceuticals only.,Yes
56,91,Dispensing fee adjustment.,No
57,94,Processed in Excess of charges.,Yes
58,95,Plan procedures not followed.,Yes
59,96,"Non-covered charge(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
60,97,"The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
61,100,Payment made to patient/insured/responsible party.,Yes
62,101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Yes
63,102,Major Medical Adjustment.,Yes
64,103,"Provider promotional discount (e.g., Senior citizen discount).",Yes
65,104,Managed care withholding.,No
66,105,Tax withholding.,No
67,106,Patient payment option/election not in effect.,No
68,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
69,108,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
70,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,Yes
71,110,Billing date predates service date.,Yes
72,111,Not covered unless the provider accepts assignment.,Yes
73,112,Service not furnished directly to the patient and/or not documented.,Yes
74,114,Procedure/product not approved by the Food and Drug Administration.,Yes
75,115,"Procedure postponed, canceled, or delayed.",Yes
76,116,The advance indemnification notice signed by the patient did not comply with requirements.,Yes
77,117,Transportation is only covered to the closest facility that can provide the necessary care.,Yes
78,118,ESRD network support adjustment.,Yes
79,119,Benefit maximum for this time period or occurrence has been reached.,Yes
80,121,Indemnification adjustment - compensation for outstanding member responsibility.,Yes
81,122,Psychiatric reduction.,No
82,128,Newborn's services are covered in the mother's Allowance.,Yes
83,129,"Prior processing information appears incorrect. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",Yes
84,130,Claim submission fee.,No
85,131,Claim specific negotiated discount.,No
86,132,Prearranged demonstration project adjustment.,No
87,133,The disposition of this service line is pending further review. (Use only with Group Code OA). Usage: Use of this code requires a reversal and correction when the service line is finalized (use only in Loop 2110 CAS segment of the 835 or Loop 2430 of the 837).,Yes
88,134,Technical fees removed from charges.,No
89,135,Interim bills cannot be processed.,Yes
90,136,Failure to follow prior payer's coverage rules. (Use only with Group Code OA),Yes
91,137,"Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Yes
92,139,Contracted funding agreement - Subscriber is employed by the provider of services. Use only with Group Code CO.,Yes
93,140,Patient/Insured health identification number and name do not match.,Yes
94,142,Monthly Medicaid patient liability amount.,Yes
95,143,Portion of payment deferred.,No
96,144,"Incentive adjustment, e.g. preferred product/service.",No
97,146,Diagnosis was invalid for the date(s) of service reported.,Yes
98,147,Provider contracted/negotiated rate expired or not on file.,Yes
99,148,"Information from another provider was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",Yes
100,149,Lifetime benefit maximum has been reached for this service/benefit category.,Yes
101,150,Payer deems the information submitted does not support this level of service.,Yes
102,151,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services.,Yes
103,152,"Payer deems the information submitted does not support this length of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
104,153,Payer deems the information submitted does not support this dosage.,Yes
105,154,Payer deems the information submitted does not support this day's supply.,Yes
106,155,Patient refused the service/procedure.,Yes
107,157,Service/procedure was provided as a result of an act of war.,Yes
108,158,Service/procedure was provided outside of the United States.,Yes
109,159,Service/procedure was provided as a result of terrorism.,Yes
110,160,Injury/illness was the result of an activity that is a benefit exclusion.,Yes
111,161,Provider performance bonus,Yes
112,163,Attachment/other documentation referenced on the claim was not received.,Yes
113,164,Attachment/other documentation referenced on the claim was not received in a timely fashion.,Yes
114,166,These services were submitted after this payers responsibility for processing claims under this plan ended.,Yes
115,167,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
116,169,Alternate benefit has been provided.,Yes
117,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
118,171,"Payment is denied when performed/billed by this type of provider in this type of facility. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
119,172,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
120,173,Service/equipment was not prescribed by a physician.,Yes
121,174,Service was not prescribed prior to delivery.,Yes
122,175,Prescription is incomplete.,Yes
123,176,Prescription is not current.,Yes
124,177,Patient has not met the required eligibility requirements.,Yes
125,178,Patient has not met the required spend down requirements.,Yes
126,179,"Patient has not met the required waiting requirements. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
127,180,Patient has not met the required residency requirements.,Yes
128,181,Procedure code was invalid on the date of service.,Yes
129,182,Procedure modifier was invalid on the date of service.,Yes
130,183,"The referring provider is not eligible to refer the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",Yes
